"Freq [GHz]","dB(GainTotal) [] - Phi='0deg' Theta='0deg'","dB(DirTotal) [] - Phi='0deg' Theta='0deg'"
9,6.91819104659485,7.66197147063775
9.1,7.16749461214895,7.85889393940497
9.2,7.39049182616938,8.0322812849952
9.3,7.59637682650947,8.19010268299589
9.4,7.78850229219089,8.33546495737971
9.5,7.96906867737044,8.4706737016469
9.6,8.14000912384577,8.59786633503365
9.7,8.30313076815414,8.7190724420065
9.8,8.46008275017522,8.83615951876085
9.9,8.6122630161516,8.95074079252179
10,8.76066837824162,9.06403979717154
10.1,8.90564415459744,9.17666616268833
10.2,9.04642299665187,9.2881962524407
10.3,9.18018651994907,9.3963034912381
10.4,9.2999791017684,9.49480031893084
10.5,9.39017252029502,9.56937852194737
10.6,9.42328181784415,9.59486725969622
10.7,9.41330349561505,9.58703051766085
10.8,9.48650504785839,9.66853187040755
10.9,9.57408295603327,9.77224346369573
11,9.55300164263869,9.78071779754862
11.1,9.39144821775778,9.66338636614885
11.2,9.06973805292333,9.39840653621953
11.3,8.5691989485205,8.96191492706101
11.4,7.88082877894743,8.33758266769444
11.5,7.01124192822069,7.52468559191183
11.6,5.98224901104696,6.54004531001288
11.7,4.82535451982505,5.41363396939391
11.8,3.57492068732135,4.18118274675044
11.9,2.26317807278615,2.87781531281365
12,0.918102762771681,1.53470093010833
12.1,-0.436435424409535,0.178530751683553
12.2,-1.77928591854206,-1.16728934928571
12.3,-3.09018871316606,-2.48073678898301
12.4,-4.34794558316258,-3.73916592724213
12.5,-5.52875861383848,-4.91744940171628
12.6,-6.60462045716832,-5.98618829943969
12.7,-7.54077197042713,-6.90904956195575
12.8,-8.28673715423102,-7.6339931490249
12.9,-8.72388262588941,-8.04396496879519
13,-8.85923045344707,-8.16848346042686
