"Freq [GHz]","dB(DirTotal) [] - Phi='0deg' Theta='0deg'","dB(GainTotal) [] - Phi='0deg' Theta='0deg'"
9,-1.0047842106512,-2.66734443211317
9.1,-4.85372188557379,-6.16691334721553
9.2,-5.86960901138266,-7.16102368063073
9.3,-3.35340561404198,-4.63917073000541
9.4,-0.49873397905511,-1.71179634323374
9.5,1.22552702488155,0.114218193238024
9.6,1.95736544290433,0.905248285045916
9.7,1.86242717197904,0.836089429344605
9.8,0.687645042634488,-0.301468155669142
9.9,-2.1285407017503,-3.05162661739183
10,-7.06594842559125,-7.9125048317648
10.1,-14.8306126557222,-15.6007721604725
10.2,-12.6084914459393,-13.3078506243692
10.3,-2.47071618187655,-3.09951458921131
10.4,2.98638450962967,2.43781740684441
10.5,4.53713746505093,4.06291963021076
10.6,1.36460259327582,0.96377831913803
10.7,1.61808041827323,1.27674446314993
10.8,8.36538665335936,8.07233149100174
10.9,9.87276098510705,9.61421504007984
11,9.49255757035564,9.24778141773816
11.1,8.57136941093403,8.32569887675102
11.2,7.57819574712006,7.30852067653782
11.3,7.68688835500399,7.370852890397
11.4,7.56009696123446,7.17904399407057
11.5,4.60409053806639,4.13880538072275
11.6,1.92742881159999,1.40409699949018
11.7,6.15960028625536,5.58167209153032
11.8,13.4712879203198,12.8674455807647
11.9,14.8963946043435,14.2836935928568
12,13.9723422496657,13.2870540880414
12.1,12.7928338394419,12.0195860011769
12.2,11.6500614508115,10.7945534484249
12.3,10.5643628155903,9.63363096191002
12.4,9.53292691367374,8.53134218348722
12.5,8.55715279858919,7.48848772077658
12.6,7.6449590280363,6.51501811360652
12.7,6.79745091643861,5.61658143151052
12.8,6.01622610338562,4.77520876841829
12.9,5.29384226418459,3.98807885472014
13,4.62625118627207,3.23394668432582
