"Freq [GHz]","dB(GainTotal) [] - Phi='0deg' Theta='0deg' Wcuartos='0.6mm' Wpar='7mm'","dB(DirTotal) [] - Phi='0deg' Theta='0deg' Wcuartos='0.6mm' Wpar='7mm'"
9,-10.6957315672186,-10.1029031200371
9.1,-9.9174044047503,-9.33420685159178
9.2,-9.04455186007471,-8.46987321079902
9.3,-8.1306336109427,-7.56367029967989
9.4,-7.19581687100579,-6.63635477101923
9.5,-6.25111914807296,-5.69948953032123
9.6,-5.30373503042018,-4.76073127668146
9.7,-4.35880752903543,-3.82561459954106
9.8,-3.42033267718946,-2.89847550506906
9.9,-2.49176692735546,-1.98307254722727
10,-1.57648741944576,-1.08305000573832
10.1,-0.678157042161868,-0.202291575597532
10.2,0.198991135743328,0.654824202480123
10.3,1.04995171362358,1.48327097035121
10.4,1.86884725303276,2.27734278766599
10.5,2.64896348317237,3.03076877131545
10.6,3.38295626689175,3.73699423007958
10.7,4.06325813690818,4.38962885322857
10.8,4.68268336081604,4.98302540138413
10.9,5.2351899544143,5.5129036812392
11,5.7167084512127,5.97689784391863
11.1,6.12582355294134,6.37489878787051
11.2,6.46394427422913,6.70910197215302
11.3,6.73493629734612,6.9837473128045
11.4,6.94463976169218,7.20461931657888
11.5,7.10032368323886,7.37842602138548
11.6,7.20998752862842,7.51218334480251
11.7,7.28165916850594,7.61269902839007
11.8,7.32284419830386,7.68620267434532
11.9,7.34017162612883,7.73812596509504
12,7.33921249137708,7.77300914606844
12.1,7.32442578156176,7.79449927383886
12.2,7.29918375149764,7.80540638998626
12.3,7.2658386042601,7.80778999447794
12.4,7.22580395206107,7.80305638209187
12.5,7.17963521667566,7.79205498744499
12.6,7.12710286654133,7.77516662445439
12.7,7.06725848864882,7.75238124180823
12.8,6.99849851065065,7.72336449424449
12.9,6.91863416837522,7.68751388553726
13,6.82497679413303,7.64400563403288
