"Freq [GHz]","re(Z(1,1)) [] - Wcuartos='0.6mm' Wpar='7mm'","im(Z(1,1)) [] - Wcuartos='0.6mm' Wpar='7mm'"
9,1.3313851335533,7.6410873094842
9.01,1.33760790370067,7.63154403612396
9.02,1.34388368284816,7.62218122224698
9.03,1.35021318726697,7.61300221625138
9.04,1.35659716806575,7.60401042232753
9.05,1.36303641192983,7.59520930162273
9.06,1.3695317418871,7.58660237344116
9.07,1.37608401810112,7.57819321647889
9.08,1.38269413869298,7.56998547009608
9.09,1.38936304059263,7.56198283562711
9.1,1.39609170042132,7.55418907773001
9.11,1.40288113540604,7.54660802577596
9.12,1.40973240432759,7.53924357528083
9.13,1.41664660850337,7.53209968937956
9.14,1.42362489280647,7.52518040034461
9.15,1.43066844672263,7.51848981115055
9.16,1.43777850544644,7.51203209708566
9.17,1.4449563510184,7.50581150741205
9.18,1.4522033135049,7.49983236707642
9.19,1.45952077222242,7.49409907847251
9.2,1.46691015700814,7.48861612325699
9.21,1.47437294953877,7.48338806422112
9.22,1.4819106846997,7.47841954721917
9.23,1.48952495200654,7.47371530315591
9.24,1.49721739708143,7.46928015003515
9.25,1.50498972318611,7.46511899507169
9.26,1.51284369281469,7.46123683686727
9.27,1.52078112934826,7.45763876765531
9.28,1.52880391877431,7.45432997561374
9.29,1.53691401147351,7.45131574725088
9.3,1.54511342407706,7.44860146986496
9.31,1.55340424139756,7.44619263408085
9.32,1.56178861843667,7.44409483646605
9.33,1.57026878247294,7.44231378222928
9.34,1.57884703523342,7.44085528800377
9.35,1.58752575515282,7.43972528471882
9.36,1.59630739972403,7.43892982056256
9.37,1.60519450794431,7.43847506403832
9.38,1.61418970286136,7.43836730711956
9.39,1.6232956942238,7.43861296850518
9.4,1.63251528124109,7.43921859697946
9.41,1.6418513554575,7.44019087488034
9.42,1.6513069037459,7.44153662168043
9.43,1.66088501142669,7.44326279768301
9.44,1.67058886551762,7.44537650783954
9.45,1.68042175812091,7.44788500569124
9.46,1.69038708995408,7.45079569744001
9.47,1.7004883740313,7.45411614615302
9.48,1.71072923950236,7.45785407610663
9.49,1.72111343565712,7.46201737727345
9.5,1.73164483610313,7.46661410995885
9.51,1.74232744312502,7.47165250959224
9.52,1.75316539223457,7.47714099167812
9.53,1.7641629569207,7.48308815691397
9.54,1.77532455360932,7.48950279647991
9.55,1.78665474684366,7.49639389750791
9.56,1.79815825469576,7.50377064873573
9.57,1.80983995442097,7.51164244635407
9.58,1.82170488836788,7.52001890005305
9.59,1.83375827015629,7.52890983927555
9.6,1.84600549113731,7.53832531968648
9.61,1.85845212714999,7.5482756298645
9.62,1.87110394558974,7.55877129822574
9.63,1.88396691280493,7.56982310018771
9.64,1.89704720183886,7.58144206558346
9.65,1.9103512005351,7.59363948633383
9.66,1.9238855200259,7.60642692439005
9.67,1.93765700362366,7.61981621995469
9.68,1.95167273613743,7.63381949999315
9.69,1.96594005363715,7.64844918704616
9.7,1.98046655369035,7.66371800835551
9.71,1.99526010609671,7.67963900531375
9.72,2.01032886414814,7.69622554325198
9.73,2.02568127644355,7.71349132157757
