"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
9,1.1600625207263,7.89567374900333
9.01,1.1650033737701,7.87946704748546
9.02,1.17001395035217,7.86346186857067
9.03,1.17509639171767,7.84766413300539
9.04,1.18025296017345,7.8320799404855
9.05,1.18548604492241,7.81671557650278
9.06,1.19079816825324,7.8015775195179
9.07,1.19619199210953,7.78667244847409
9.08,1.20167032506555,7.77200725067256
9.09,1.207236129737,7.75758903002652
9.1,1.2128925306576,7.74342511571586
9.11,1.21864282265527,7.72952307126253
9.12,1.22449047976377,7.71589070405111
9.13,1.2304391647088,7.70253607531668
9.14,1.23649273901096,7.68946751062709
9.15,1.24265527375107,7.67669361088587
9.16,1.24893106104745,7.6642232638844
9.17,1.25532462629894,7.65206565643332
9.18,1.2618407412514,7.64023028710599
9.19,1.26848443795134,7.62872697962634
9.2,1.27526102365492,7.61756589693866
9.21,1.28217609676692,7.60675755599517
9.22,1.2892355638907,7.59631284330321
9.23,1.29644565807734,7.58624303127243
9.24,1.30381295836999,7.57655979540847
9.25,1.31134441074799,7.56727523239795
9.26,1.31904735058513,7.55840187913696
9.27,1.32692952674613,7.54995273275281
9.28,1.33499912745816,7.54194127167638
9.29,1.34326480810519,7.53438147782094
9.3,1.35173572110876,7.52728785993042
9.31,1.36042154807256,7.52067547815942
9.32,1.36933253438629,7.51455996995288
9.33,1.3784795265029,7.508957577295
9.34,1.38787401212371,7.50388517540053
9.35,1.39752816354937,7.49936030292494
9.36,1.40745488448051,7.49540119377183
9.37,1.41766786057953,7.49202681057955
9.38,1.42818161413713,7.48925687997063
9.39,1.43901156322207,7.48711192965096
9.4,1.45017408573166,7.48561332744539
9.41,1.46168658880359,7.48478332235833
9.42,1.47356758409856,7.48464508774884
9.43,1.48583676951669,7.48522276670645
9.44,1.49851511797108,7.48654151971348
9.45,1.5116249739092,7.48862757467481
9.46,1.52519015834787,7.49150827939012
9.47,1.53923608327185,7.49521215653345
9.48,1.55378987634047,7.4997689611962
9.49,1.56888051695211,7.50520974102897
9.5,1.58453898483559,7.51156689900111
9.51,1.60079842246995,7.51887425876734
9.52,1.61769431278458,7.5271671325981
9.53,1.63526467375938,7.53648239178536
9.54,1.65355027173481,7.54685853938501
9.55,1.67259485545436,7.55833578508696
9.56,1.69244541310341,7.57095612192187
9.57,1.71315245487886,7.58476340441248
9.58,1.73477032393065,7.59980342764862
9.59,1.75735753886131,7.6161240066123
9.6,1.78097717135977,7.63377505488737
9.61,1.80569726298647,7.65280866165584
9.62,1.83159128562363,7.67327916559831
9.63,1.85873865066698,7.69524322396637
9.64,1.88722527266896,7.71875987467004
9.65,1.91714419385942,7.74389058870362
9.66,1.94859627677624,7.77069930959691
9.67,1.98169097314724,7.7992524758044
9.68,2.01654717818613,7.8296190209982
9.69,2.05329418061126,7.86187034607189
9.7,2.09207271997814,7.8960802552502
9.71,2.13303616434646,7.93232484696972
9.72,2.17635182288776,7.97068234808046
9.73,2.22220240978977,8.01123287733184
9.74,2.27078767772605,8.05405812093799
9.75,2.32232624123249,8.09924089913393
9.76,2.37705761254246,8.14686459788236
9.77,2.43524447474708,8.19701243405662
9.78,2.49717521950172,8.24976651527865
9.79,2.56316677879267,8.30520664682668
9.8,2.63356778235806,8.36340882727775
9.81,2.70876207398946,8.42444336138543
9.82,2.78917262079161,8.48837250256727
9.83,2.8752658490601,8.55524751765936
9.84,2.96755643805896,8.62510504253435
9.85,3.06661259766747,8.69796256788425
9.86,3.17306184625213,8.77381285894687
9.87,3.28759728931395,8.85261707008734
9.88,3.41098437484812,8.93429626376428
9.89,3.54406806436153,9.01872098238883
9.9,3.68778030427027,9.1056984500058
9.91,3.84314760441373,9.19495689821696
9.92,4.01129841998967,9.28612641797904
9.93,4.19346987892928,9.3787156383565
9.94,4.3910131838947,9.47208343063004
9.95,4.60539672819918,9.56540474202693
9.96,4.83820557555012,9.65762959631985
9.97,5.09113543869684,9.7474342891633
9.98,5.36597862452386,9.83316390242759
9.99,5.66459856888362,9.91276553707204
10,5.98888855219006,9.983712225354
10.01,6.34070898465329,10.0429184808951
10.02,6.72179635362348,10.0866500801557
10.03,7.13363571134048,10.1104331905234
10.04,7.57728778876207,10.1089716437531
10.05,8.05316203066104,10.076086237296
10.06,8.56072896069476,10.0046965002876
10.07,9.09817056698357,9.88687305471144
10.08,9.66197739497947,9.71399644844516
10.09,10.2465172340182,9.47706384519259
10.1,10.8436233479671,9.16718434416224
10.11,11.4422786390122,8.77629151896763
10.12,12.028500574112,8.29807202029067
10.13,12.5855494781336,7.72905793957159
10.14,13.0945744040895,7.06976088426693
