"Freq [GHz]","re(Z(1,1)) []","im(Z(1,1)) []"
9,16.5280064434814,-97.1639599776898
9.01,16.0653148330968,-94.9852660434235
9.02,15.6273146298887,-92.8793338194354
9.03,15.2122050503554,-90.842216581472
9.04,14.8183651556084,-88.8702561326485
9.05,14.444330368788,-86.9600564447557
9.06,14.0887727922744,-85.1084600173687
9.07,13.7504846093763,-83.3125266894041
9.08,13.4283640037581,-81.5695146474564
9.09,13.1214031457385,-79.8768633925851
9.1,12.8286778851343,-78.2321784480501
9.11,12.5493388612764,-76.6332176122072
9.12,12.2826037966188,-75.0778785819685
9.13,12.0277507843994,-73.5641877920678
9.14,11.7841124157304,-72.0902903335102
9.15,11.5510706193016,-70.6544408308949
9.16,11.3280521091245,-69.2549951727838
9.17,11.1145243536392,-67.8904030020978
9.18,10.909991993954,-66.5592008847403
9.19,10.7139936507259,-65.2600060844945
9.2,10.5260990687688,-63.991510880816
9.21,10.3459065563285,-62.7524773736458
9.22,10.1730406824386,-61.5417327259017
9.23,10.0071502011288,-60.3581648000065
9.24,9.84790617572276,-59.2007181497994
9.25,9.69500028018453,-58.0683903335187
9.26,9.54814325760837,-56.9602285173617
9.27,9.40706351858369,-55.8753263424549
9.28,9.2715058644065,-54.8128210310028
9.29,9.14123032200698,-53.7718907099513
9.3,9.01601107909065,-52.7517519327722
9.31,8.89563550938049,-51.751657381968
9.32,8.77990327904499,-50.7708937366688
9.33,8.66862552643306,-49.8087796912483
9.34,8.56162410812992,-48.8646641122776
9.35,8.45873090512905,-47.9379243223613
9.36,8.35978718359183,-47.0279645004996
9.37,8.26464300526242,-46.1342141895939
9.38,8.17315668312337,-45.256126902583
9.39,8.08519427833744,-44.3931788194817
9.4,8.00062913492299,-43.5448675682848
9.41,7.91934144896782,-42.7107110833327
9.42,7.84121786950206,-41.890246535291
9.43,7.7661511284312,-41.0830293274077
9.44,7.69403969718026,-40.2886321531661
9.45,7.62478746792273,-39.5066441108628
9.46,7.55830345746698,-38.7366698710151
9.47,7.49450153205089,-37.9783288928335
9.48,7.43330015145622,-37.2312546863094
9.49,7.37462213099611,-36.4950941167342
9.5,7.31839442006147,-35.7695067487269
9.51,7.26454789602553,-35.0541642270707
9.52,7.21301717241403,-34.3487496918711
9.53,7.16374042034294,-33.6529572257327
9.54,7.11665920231177,-32.9664913308331
9.55,7.07171831752078,-32.2890664339236
9.56,7.02886565795063,-31.6204064174353
9.57,6.98805207450885,-30.9602441750006
9.58,6.94923125260785,-30.3083211898214
9.59,6.91235959659243,-29.6643871344272
9.6,6.87739612248634,-29.0281994904695
9.61,6.84430235857214,-28.3995231872904
9.62,6.81304225336216,-27.7781302580924
9.63,6.78358209055655,-27.1637995126144
9.64,6.75589041062101,-26.5563162252932
9.65,6.7299379386506,-25.9554718379559
9.66,6.70569751821679,-25.3610636761533
9.67,6.68314405092435,-24.7728946782982
9.68,6.66225444143194,-24.1907731368302
9.69,6.64300754771612,-23.6145124506734
9.7,6.6253841363821,-23.0439308883027
9.71,6.60936684284831,-22.4788513607727
9.72,6.5949401362531,-21.9191012041049
9.73,6.58209028895302,-21.3645119704647
