"Theta [deg]","dB10normalize(DirTotal) [] - Freq='11.25GHz' Phi='0deg'","dB10normalize(DirTotal)_1 [] - Freq='11.25GHz' Phi='90.0000000000002deg'"
0,-5.78596479931973E-015,-0.262258899128645
1,-0.0202129501649413,-0.221300750433274
2,-0.0621910583812331,-0.183868715996338
3,-0.126052711170722,-0.149945522593907
4,-0.211971907161101,-0.119514345474841
5,-0.32017950959538,-0.0925589888057396
6,-0.450965112819417,-0.0690640118687004
7,-0.604679530137455,-0.0490148010633188
8,-0.781737910547765,-0.0323975890905422
9,-0.982623484734913,-0.0191994239162782
10,-1.20789192254003,-0.00940809118762789
11,-1.45817624896674,-0.00301199467323142
12,-1.73419220413066,0
13,-2.03674382942965,-0.000361247451091438
14,-2.36672889383633,-0.00408493987343436
15,-2.72514350279433,-0.0111601118268997
16,-3.11308479738499,-0.0215753860089201
17,-3.53174995651576,-0.0353187227320725
18,-3.98242860452477,-0.0523771678477303
19,-4.46648395124217,-0.0727366040280246
20,-4.98531515193533,-0.0963815097746072
21,-5.54028883919687,-0.123294729947353
22,-6.13262057341621,-0.153457261029705
23,-6.76317565461755,-0.186848053793463
24,-7.43214146305764,-0.223443835515991
25,-8.13849845269426,-0.263218953450943
26,-8.87918450824341,-0.306145240868376
27,-9.64781652146479,-0.352191906664307
28,-10.4328369225937,-0.401325449291551
29,-11.2150797841258,-0.453509595575158
30,-11.9651785454354,-0.508705264836699
31,-12.6421771070464,-0.566870558648514
32,-13.1959998964406,-0.627960776456197
33,-13.5766640286104,-0.69192845722972
34,-13.7496227446189,-0.758723447214722
35,-13.7096604395944,-0.828292993742317
36,-13.4831453227546,-0.900581864905455
37,-13.1167754499164,-0.97553249471454
38,-12.661567515818,-1.05308515309839
39,-12.1614230116144,-1.13317813981742
40,-11.6488468603536,-1.21574800100635
41,-11.1454964610114,-1.30072976666991
42,-10.6646102581359,-1.38805720702761
43,-10.2135662461974,-1.47766310515544
44,-9.79592306426273,-1.5694795429204
45,-9.41286143886072,-1.66343819676669
46,-9.06413888936038,-1.75947063950997
47,-8.74869896172727,-1.85750864394939
48,-8.46505067471336,-1.95748448383555
49,-8.21150028817281,-2.0593312275554
50,-7.9862899652379,-2.16298301982713
51,-7.78767841567159,-2.26837534675319
52,-7.61398570044664,-2.37544527976385
53,-7.46361609969339,-2.48413169430241
54,-7.33506772083031,-2.59437545955222
55,-7.22693424845739,-2.70611959607859
56,-7.13790218935077,-2.81930939894193
57,-7.06674568482334,-2.93389252461453
58,-7.01232016066221,-3.04981904087972
59,-6.97355558231931,-3.16704143978431
60,-6.94944976829436,-3.28551461462482
61,-6.93906201803188,-3.40519580284791
62,-6.94150718854912,-3.52604449760606
63,-6.95595027900939,-3.6480223315071
64,-6.98160153725096,-3.77109293680312
65,-7.01771207590515,-3.89522178686554
66,-7.0635699712101,-4.02037602426772
67,-7.1184968104988,-4.14652428113736
68,-7.18184465176783,-4.27363649764077
69,-7.25299335890339,-4.4016837445175
70,-7.33134827789562,-4.53063805550303
71,-7.4163382219784,-4.66047227526411
72,-7.50741373662946,-4.79115992813865
73,-7.60404561846484,-4.92267511253273
74,-7.70572366509039,-5.0549924252971
75,-7.81195563582699,-5.18808691980056
76,-7.922266405845,-5.32193410075603
77,-8.03619729859881,-5.4565099581521
78,-8.15330558352996,-5.59179104191497
79,-8.27316412780409,-5.72775457818838
80,-8.39536119236523,-5.86437862738284
81,-8.51950036383728,-6.00164228342547
82,-8.64520061478354,-6.13952591294283
83,-8.77209648555749,-6.27801143244526
84,-8.89983838145061,-6.41708262095153
85,-9.02809297907175,-6.5567254649103
86,-9.15654373588436,-6.69692853173665
87,-9.28489149659202,-6.83768336779521
88,-9.41285518960401,-6.97898491622789
89,-9.54017260614326,-7.12083194964375
90,-9.66660125369058,-7.26322751236455
91,-9.7919192744049,-7.40617936665335
92,-9.91592641794141,-7.54970043714375
93,-10.0384450567309,-7.69380924753865
94,-10.1593212303168,-7.83853034355696
95,-10.27842570381,-7.98389469607803
96,-10.3956550239566,-8.12994007846508
97,-10.5109325547814,-8.2767114121434
98,-10.6242094733184,-8.42426107466246
99,-10.7354657046372,-8.57264916468931
100,-10.8447107742848,-8.72194371865575
101,-10.9519845554467,-8.87222087412009
102,-11.057357887645,-9.02356497529886
103,-11.1609330436844,-9.17606861667805
104,-11.2628440218556,-9.32983262112357
105,-11.3632566411279,-9.48496594947483
106,-11.4623684181878,-9.64158553922828
107,-11.5604082066828,-9.7998160705899
108,-11.6576355808278,-9.95978965890749
109,-11.7543399475503,-10.121645473277
110,-11.8508393734538,-10.285529281958
111,-11.9474791149408,-10.4515929261301
112,-12.0446298416911,-10.6199937244732
113,-12.1426855451767,-10.7908938120629
114,-12.2420611248424,-10.9644594181226
115,-12.3431896448269,-11.1408600882659
116,-12.4465192535024,-11.3202678579723
117,-12.5525097565377,-11.5028563851342
118,-12.661628831556,-11.6888000505547
119,-12.7743478687107,-11.8782730361967
120,-12.8911374166381,-12.0714483916905
121,-13.0124622073342,-12.26849709998
122,-13.138775726695,-12.469587152867
123,-13.2705142900131,-12.6748826463716
124,-13.4080905740541,-12.8845429040189
125,-13.5518865500448,-13.0987216330211
126,-13.7022457558726,-13.3175661134642
127,-13.8594648422548,-13.5412164135078
128,-14.023784328283,-13.769804613693
129,-14.1953785089078,-14.0034540100303
130,-14.3743444736418,-14.2422782478445
131,-14.56069022601,-14.4863803155135
132,-14.75432194199,-14.7358512983372
133,-14.9550304788177,-14.9907687568474
134,-15.1624773497541,-15.2511945499814
135,-15.3761805225612,-15.5171718708572
136,-15.5955005853102,-15.7887212008253
137,-15.8196280555114,-16.0658348159207
138,-16.0475728840613,-16.3484693995158
139,-16.2781575105041,-16.6365362280252
140,-16.5100151315827,-16.9298883073843
141,-16.7415951015889,-17.2283037548851
142,-16.9711775176786,-17.5314646577834
143,-17.1968989615325,-17.8389306196748
144,-17.4167909651027,-18.150106263614
145,-17.6288319495469,-18.4642021508375
146,-17.8310121083064,-18.7801889723117
147,-18.0214090157194,-19.0967455801287
148,-18.1982698201217,-19.4122025734526
149,-18.3600940439293,-19.7244848721818
150,-18.5057096821724,-20.0310590966775
151,-18.6343348872913,-20.3288945984195
152,-18.7456183384922,-20.6144503719856
153,-18.839653440994,-20.8837031107991
154,-18.9169644836555,-21.1322330596754
155,-18.9784662336026,-21.3553822348809
156,-19.0254014857092,-21.5484920811918
157,-19.0592632313729,-21.7072136496169
158,-19.0817090444399,-21.8278641357998
159,-19.0944750047267,-21.9077837236003
160,-19.0992952642857,-21.9456336476363
161,-19.0978316253075,-21.9415777827662
162,-19.0916156631249,-21.8973090618071
163,-19.0820043180743,-21.8159142376052
164,-19.0701486799828,-21.7016050381857
165,-19.0569749486584,-21.5593685099055
166,-19.0431762246991,-21.3945971586038
167,-19.0292137643395,-21.212750991898
