"Freq [GHz]","dB(S(1,1)) []"
9,-0.585160724069835
9.01,-0.588808418481343
9.02,-0.592505149119496
9.03,-0.596251600687917
9.04,-0.600048482432906
9.05,-0.603896528805117
9.06,-0.607796500142833
9.07,-0.611749183377599
9.08,-0.615755392763146
9.09,-0.619815970628474
9.1,-0.62393178815607
9.11,-0.628103746186225
9.12,-0.632332776048498
9.13,-0.636619840421345
9.14,-0.640965934221115
9.15,-0.645372085521533
9.16,-0.649839356504812
9.17,-0.654368844445812
9.18,-0.658961682730461
9.19,-0.66361904190981
9.2,-0.66834213079124
9.21,-0.673132197568221
9.22,-0.677990530990292
9.23,-0.682918461574827
9.24,-0.687917362862295
9.25,-0.69298865271687
9.26,-0.698133794674145
9.27,-0.703354299337998
9.28,-0.708651725828581
9.29,-0.714027683283563
9.3,-0.719483832414902
9.31,-0.725021887123336
9.32,-0.730643616173223
9.33,-0.73635084493003
9.34,-0.742145457163325
9.35,-0.748029396917906
9.36,-0.754004670456056
9.37,-0.760073348273903
9.38,-0.766237567195064
9.39,-0.772499532544954
9.4,-0.778861520409145
9.41,-0.78532587997946
9.42,-0.791895035991641
9.43,-0.798571491258496
9.44,-0.805357829302781
9.45,-0.812256717094132
9.46,-0.819270907894627
9.47,-0.826403244217841
9.48,-0.833656660906307
9.49,-0.841034188332702
9.5,-0.848538955730326
9.51,-0.856174194658513
9.52,-0.863943242609175
9.53,-0.8718495467607
9.54,-0.87989666788594
9.55,-0.888088284421243
9.56,-0.896428196703784
9.57,-0.904920331384944
9.58,-0.913568746027688
9.59,-0.922377633896429
9.6,-0.931351328948201
9.61,-0.940494311034386
9.62,-0.94981121132272
9.63,-0.959306817949806
9.64,-0.968986081914772
9.65,-0.978854123225344
9.66,-0.988916237308059
9.67,-0.999177901694968
9.68,-1.0096447829998
9.69,-1.02032274419712
9.7,-1.03121785221876
9.71,-1.04233638588243
9.72,-1.05368484416825
9.73,-1.06526995485949
9.74,-1.07709868356494
9.75,-1.0891782431408
9.76,-1.10151610353117
9.77,-1.11412000204694
9.78,-1.12699795410382
9.79,-1.14015826444156
9.8,-1.15360953884693
9.81,-1.16736069640461
9.82,-1.18142098230097
9.83,-1.19579998120702
9.84,-1.21050763126803
9.85,-1.22555423872849
9.86,-1.24095049322258
9.87,-1.2567074837615
9.88,-1.27283671545051
9.89,-1.28935012697
9.9,-1.30626010885635
9.91,-1.32357952261994
9.92,-1.34132172073912
9.93,-1.35950056757079
9.94,-1.37813046121957
9.95,-1.39722635640948
9.96,-1.41680378840348
9.97,-1.43687889801819
9.98,-1.45746845778228
9.99,-1.47858989928941
10,-1.5002613417973
10.01,-1.52250162212701
10.02,-1.54533032591712
10.03,-1.56876782028958
10.04,-1.59283528798475
10.05,-1.61755476302455
10.06,-1.64294916796315
10.07,-1.66904235278582
10.08,-1.69585913551602
10.09,-1.72342534459168
10.1,-1.75176786307009
10.11,-1.78091467472084
10.12,-1.81089491206343
10.13,-1.84173890640461
10.14,-1.87347823992671
10.15,-1.90614579987411
10.16,-1.93977583487903
10.17,-1.97440401346148
10.18,-2.01006748472902
10.19,-2.04680494129187
10.2,-2.08465668439577
10.21,-2.12366469126023
10.22,-2.16387268459101
10.23,-2.2053262042142
10.24,-2.24807268075353
10.25,-2.29216151124208
10.26,-2.33764413652371
10.27,-2.38457412025773
10.28,-2.43300722929101
10.29,-2.48300151510412
10.3,-2.53461739597093
10.31,-2.58791773939234
10.32,-2.64296794427354
10.33,-2.69983602220724
10.34,-2.75859267710082
10.35,-2.81931138224084
10.36,-2.88206845371913
10.37,-2.94694311894851
10.38,-3.01401757876679
10.39,-3.08337706136125
10.4,-3.1551098659342
10.41,-3.22930739366795
10.42,-3.30606416312363
10.43,-3.38547780671452
10.44,-3.46764904431706
10.45,-3.55268162940882
10.46,-3.64068226233312
10.47,-3.73176046436922
10.48,-3.82602840520754
10.49,-3.92360067516767
10.5,-4.02459399202109
10.51,-4.12912683055431
10.52,-4.23731896099168
10.53,-4.3492908800424
10.54,-4.46516311559393
10.55,-4.58505538288303
10.56,-4.70908556627931
10.57,-4.83736849654601
10.58,-4.97001448854079
10.59,-5.10712759872792
10.6,-5.24880355555507
10.61,-5.39512730869573
10.62,-5.54617013541401
10.63,-5.70198623399745
10.64,-5.86260872557368
10.65,-6.02804497710675
10.66,-6.19827115065296
10.67,-6.37322587810455
10.68,-6.55280295823171
10.69,-6.73684297609448
10.7,-6.92512375696533
10.71,-7.11734959200174
10.72,-7.31313921657235
10.73,-7.51201259132259
10.74,-7.71337663910193
10.75,-7.91651023703655
10.76,-8.12054896149064
10.77,-8.32447034150222
10.78,-8.52708069514757
10.79,-8.72700499445368
10.8,-8.92268160223268
10.81,-9.11236409840946
10.82,-9.29413268302277
10.83,-9.46591769444318
10.84,-9.62553747647562
10.85,-9.77075202887652
10.86,-9.89933248825798
10.87,-10.0091445200869
10.88,-10.0982413315204
10.89,-10.1649596092742
10.9,-10.2080097813823
10.91,-10.2265511796241
10.92,-10.2202433852843
10.93,-10.1892673867619
10.94,-10.1343138324239
10.95,-10.0565398999733
10.96,-9.95750021311321
10.97,-9.83906001110587
10.98,-9.7032999600479
10.99,-9.55242157659672
11,-9.38866058277729
11.01,-9.21421318874869
11.02,-9.03117787329839
11.03,-8.84151312344854
11.04,-8.64701003403123
11.05,-8.449277706655
11.06,-8.24973895420343
11.07,-8.04963378107059
11.08,-7.85002832943468
11.09,-7.65182733591258
11.1,-7.45578854039917
11.11,-7.26253787129683
11.12,-7.0725845667521
11.13,-6.88633566705953
11.14,-6.70410952833436
11.15,-6.52614816781918
11.16,-6.35262836560995
11.17,-6.18367152555255
11.18,-6.01935234823679
11.19,-5.85970639877739
11.2,-5.70473666734881
11.21,-5.55441922582266
11.22,-5.40870808275703
11.23,-5.2675393338871
11.24,-5.13083469791287
11.25,-4.99850451896111
11.26,-4.87045030840467
11.27,-4.746566890248
11.28,-4.62674420632834
11.29,-4.51086883029008
11.3,-4.39882523273189
11.31,-4.29049683410202
11.32,-4.18576687680132
11.33,-4.08451914348938
11.34,-3.98663854471776
11.35,-3.89201159567378
11.36,-3.80052679894161
11.37,-3.71207494772091
11.38,-3.62654936182831
11.39,-3.5438460669992
11.4,-3.46386392646189
11.41,-3.38650473243517
11.42,-3.31167326407399
11.43,-3.23927731742446
11.44,-3.16922771212833
11.45,-3.10143827891413
11.46,-3.03582583131341
11.47,-2.97231012452731
11.48,-2.91081380393093
11.49,-2.85126234532808
11.5,-2.7935839887484
11.51,-2.73770966730466
11.52,-2.68357293239316
11.53,-2.63110987631868
11.54,-2.58025905325404
11.55,-2.53096139929621
11.56,-2.48316015225508
11.57,-2.43680077170278
11.58,-2.3918308597193
11.59,-2.34820008269098
11.6,-2.30586009445082
11.61,-2.26476446099237
11.62,-2.2248685869396
11.63,-2.18612964391336
11.64,-2.14850650089999
11.65,-2.11195965669702
11.66,-2.07645117448623
11.67,-2.0419446185624
11.68,-2.00840499322855
11.69,-1.97579868385357
11.7,-1.94409340007559
11.71,-1.91325812112433
11.72,-1.88326304322761
11.73,-1.85407952906017
11.74,-1.82568005918794
11.75,-1.79803818545669
11.76,-1.77112848627073
11.77,-1.7449265237055
11.78,-1.71940880239569
11.79,-1.69455273014027
11.8,-1.67033658016494
11.81,-1.64673945498281
11.82,-1.62374125179425
11.83,-1.60132262936775
11.84,-1.57946497634433
11.85,-1.55815038090944
11.86,-1.53736160177713
11.87,-1.51708204043315
11.88,-1.49729571458464
11.89,-1.47798723276609
11.9,-1.45914177005233
11.91,-1.4407450448316
11.92,-1.42278329659256
11.93,-1.40524326468161
11.94,-1.38811216798789
11.95,-1.37137768551523
11.96,-1.3550279378019
11.97,-1.3390514691505
11.98,-1.32343723063207
11.99,-1.30817456382949
12,-1.29325318528753
12.01,-1.27866317163736
12.02,-1.26439494536554
12.03,-1.25043926119828
12.04,-1.23678719307329
12.05,-1.22343012167256
12.06,-1.21035972249112
12.07,-1.19756795441709
12.08,-1.18504704880026
12.09,-1.17278949898713
12.1,-1.16078805030115
12.11,-1.14903569044833
12.12,-1.13752564032896
12.13,-1.12625134523709
12.14,-1.11520646643051
12.15,-1.10438487305448
12.16,-1.09378063440334
12.17,-1.08338801250509
12.18,-1.07320145501422
12.19,-1.06321558839932
12.2,-1.05342521141217
12.21,-1.04382528882602
12.22,-1.03441094543091
12.23,-1.02517746027488
12.24,-1.01612026114012
12.25,-1.00723491924382
12.26,-0.998517144153787
12.27,-0.989962778909487
12.28,-0.981567795339613
12.29,-0.973328289567516
12.3,-0.96524047769647
12.31,-0.95730069166694
12.32,-0.949505375278501
12.33,-0.941851080369257
12.34,-0.93433446314606
12.35,-0.926952280659165
12.36,-0.919701387415043
12.37,-0.912578732121586
12.38,-0.905581354560102
12.39,-0.898706382578732
12.4,-0.891951029202209
12.41,-0.885312589853121
12.42,-0.878788439679923
12.43,-0.872376030987456
12.44,-0.866072890765522
12.45,-0.859876618311593
12.46,-0.853784882943791
12.47,-0.847795421800333
12.48,-0.841906037722048
12.49,-0.836114597214499
12.5,-0.830419028486519
12.51,-0.824817319562031
12.52,-0.819307516462274
12.53,-0.813887721455581
12.54,-0.808556091371959
12.55,-0.803310835979982
12.56,-0.798150216423455
12.57,-0.793072543715519
12.58,-0.788076177287942
12.59,-0.783159523593367
12.6,-0.778321034758574
12.61,-0.773559207286608
12.62,-0.768872580806031
12.63,-0.764259736865328
12.64,-0.759719297770845
12.65,-0.755249925466545
12.66,-0.750850320453938
12.67,-0.746519220750718
12.68,-0.74225540088659
12.69,-0.738057670934912
12.7,-0.733924875578737
12.71,-0.729855893210048
12.72,-0.725849635060883
12.73,-0.7219050443651
12.74,-0.718021095549834
12.75,-0.71419679345525
12.76,-0.710431172581868
12.77,-0.706723296364104
12.78,-0.703072256469384
12.79,-0.699477172121653
12.8,-0.695937189448444
12.81,-0.692451480850749
12.82,-0.689019244394711
12.83,-0.685639703224427
12.84,-0.682312104995068
12.85,-0.679035721325566
12.86,-0.67580984727027
12.87,-0.672633800808617
12.88,-0.669506922352551
12.89,-0.666428574270644
12.9,-0.663398140428677
12.91,-0.6604150257458
12.92,-0.657478655765899
12.93,-0.654588476243597
12.94,-0.651743952744213
12.95,-0.648944570257409
12.96,-0.646189832823835
12.97,-0.643479263174468
12.98,-0.640812402381997
12.99,-0.638188809524004
13,-0.635608061357477
