"Freq [GHz]","dB(S(1,1)) []"
9,-1.17866086647805
9.01,-1.18779134357538
9.02,-1.19696898517999
9.03,-1.2061877565207
9.04,-1.21544284114419
9.05,-1.22473039713242
9.06,-1.23404736277865
9.07,-1.24339130156135
9.08,-1.25276027837748
9.09,-1.26215276067692
9.1,-1.27156753946593
9.11,-1.28100366619338
9.12,-1.29046040235686
9.13,-1.29993717931558
9.14,-1.30943356630884
9.15,-1.31894924508382
9.16,-1.3284839898562
9.17,-1.33803765158136
9.18,-1.34761014571501
9.19,-1.3572014428027
9.2,-1.36681156136558
9.21,-1.37644056265199
9.22,-1.38608854690655
9.23,-1.39575565087395
9.24,-1.40544204630791
9.25,-1.41514793929831
9.26,-1.42487357026419
9.27,-1.43461921448803
9.28,-1.44438518308995
9.29,-1.45417182435842
9.3,-1.46397952536963
9.31,-1.47380871383986
9.32,-1.48365986016519
9.33,-1.49353347961145
9.34,-1.50343013462409
9.35,-1.51335043723327
9.36,-1.52329505153413
9.37,-1.5332646962264
9.38,-1.54326014720045
9.39,-1.55328224015975
9.4,-1.5633318732721
9.41,-1.57341000984382
9.42,-1.58351768101288
9.43,-1.59365598845829
9.44,-1.6038261071243
9.45,-1.61402928795921
9.46,-1.62426686066936
9.47,-1.63454023648975
9.48,-1.64485091097362
9.49,-1.65520046680387
9.5,-1.66559057663
9.51,-1.6760230059347
9.52,-1.68649961593481
9.53,-1.69702236652211
9.54,-1.70759331924958
9.55,-1.71821464036961
9.56,-1.72888860393095
9.57,-1.73961759494177
9.58,-1.75040411260666
9.59,-1.76125077364602
9.6,-1.77216031570661
9.61,-1.78313560087285
9.62,-1.79417961928879
9.63,-1.80529549290126
9.64,-1.81648647933544
9.65,-1.82775597591471
9.66,-1.83910752383702
9.67,-1.85054481252113
9.68,-1.86207168413647
9.69,-1.87369213833133
9.7,-1.88541033717473
9.71,-1.8972306103284
9.72,-1.90915746046613
9.73,-1.92119556895854
9.74,-1.93334980184283
9.75,-1.94562521609767
9.76,-1.95802706624507
9.77,-1.9705608113019
9.78,-1.98323212210567
9.79,-1.99604688904004
9.8,-2.0090112301878
9.81,-2.02213149994017
9.82,-2.0354142980937
9.83,-2.04886647946765
9.84,-2.06249516407711
9.85,-2.07630774789952
9.86,-2.09031191427465
9.87,-2.104515645981
9.88,-2.11892723803454
9.89,-2.13355531125887
9.9,-2.14840882667972
9.91,-2.16349710079997
9.92,-2.17882982181626
9.93,-2.19441706684212
9.94,-2.2102693202079
9.95,-2.22639749291307
9.96,-2.24281294331196
9.97,-2.25952749912109
9.98,-2.27655348084222
9.99,-2.29390372670374
10,-2.31159161923061
10.01,-2.32963111356246
10.02,-2.34803676764901
10.03,-2.36682377446305
10.04,-2.38600799638269
10.05,-2.40560600190757
10.06,-2.42563510488788
10.07,-2.4461134064601
10.08,-2.46705983990065
10.09,-2.4884942186267
10.1,-2.5104372875936
10.11,-2.53291077836052
10.12,-2.55593746811994
10.13,-2.57954124301278
10.14,-2.60374716607986
10.15,-2.62858155023158
10.16,-2.65407203665185
10.17,-2.68024767908918
10.18,-2.70713903452814
10.19,-2.73477826077772
10.2,-2.76319922155959
10.21,-2.79243759972972
10.22,-2.82253101931928
10.23,-2.85351917713783
10.24,-2.88544398473951
10.25,-2.91834972161438
10.26,-2.95228320052726
10.27,-2.98729394598733
10.28,-3.02343438688817
10.29,-3.06076006440864
10.3,-3.09932985630436
10.31,-3.1392062187425
10.32,-3.1804554468305
10.33,-3.22314795495213
10.34,-3.26735857793766
10.35,-3.31316689394117
10.36,-3.36065756965251
10.37,-3.40992072810522
10.38,-3.46105233881371
10.39,-3.5141546292363
10.4,-3.56933651555074
10.41,-3.62671404937194
10.42,-3.68641087524197
10.43,-3.74855869137311
10.44,-3.81329770309552
10.45,-3.8807770546157
10.46,-3.9511552198855
10.47,-4.02460032749067
10.48,-4.10129038741216
10.49,-4.18141337932279
10.5,-4.26516715296843
10.51,-4.35275908167795
10.52,-4.4444054011746
10.53,-4.54033015938251
10.54,-4.64076370163047
10.55,-4.74594062370748
10.56,-4.85609714842257
10.57,-4.97146792720844
10.58,-5.09228234579237
10.59,-5.21876053112447
10.6,-5.35110942230636
10.61,-5.48951948122977
10.62,-5.63416286616599
10.63,-5.78519414071949
10.64,-5.94275478257394
10.65,-6.1069828068209
10.66,-6.27802862933261
10.67,-6.4560777842
10.68,-6.64138025403561
10.69,-6.83428506053264
10.7,-7.03527761812459
10.71,-7.24501650778553
10.72,-7.4643661272163
10.73,-7.69442233822808
10.74,-7.93652973347461
10.75,-8.19229117447581
10.76,-8.46357232114526
10.77,-8.75250549828572
10.78,-9.06149814149341
10.79,-9.39325123756156
10.8,-9.75079288150418
10.81,-10.1375317042786
10.82,-10.5573348656381
10.83,-11.0146358310554
10.84,-11.5145783687391
10.85,-12.0632049751375
10.86,-12.6676996388253
10.87,-13.3366946219383
10.88,-14.080643545944
10.89,-14.91223390115
10.9,-15.8467198951818
10.91,-16.9017826559782
10.92,-18.0957225084971
10.93,-19.4404564496504
10.94,-20.9193763196378
10.95,-22.4266402631119
10.96,-23.6488785184427
10.97,-24.0477559488273
10.98,-23.3441261819109
10.99,-21.9158160705448
11,-20.2794712242539
11.01,-18.7025874433731
11.02,-17.2682209666631
11.03,-15.985291541556
11.04,-14.8400547634561
11.05,-13.8143039172385
11.06,-12.8909869114375
11.07,-12.055560630471
11.08,-11.2959968714731
11.09,-10.6024228875963
11.1,-9.96671677621557
11.11,-9.38215176953624
11.12,-8.84310763864765
11.13,-8.3448437672545
11.14,-7.8833227718851
11.15,-7.45507374026011
11.16,-7.05708595941172
11.17,-6.68672596142965
11.18,-6.34167239549752
11.19,-6.01986456426661
11.2,-5.71946147770468
11.21,-5.43880904125552
11.22,-5.17641356695288
11.23,-4.9309202245033
11.24,-4.70109537136623
11.25,-4.48581194408616
11.26,-4.28403727784976
11.27,-4.09482286228012
11.28,-3.91729564972024
11.29,-3.75065061570131
11.3,-3.59414433587275
11.31,-3.44708939381179
11.32,-3.30884947316616
11.33,-3.17883501803126
11.34,-3.05649936925026
11.35,-2.94133530293482
11.36,-2.83287191207286
11.37,-2.73067178351092
11.38,-2.63432843155748
11.39,-2.54346395649461
11.4,-2.45772690182598
11.41,-2.37679028846128
11.42,-2.30034980749846
11.43,-2.22812215601674
11.44,-2.15984350249352
11.45,-2.09526807022773
11.46,-2.03416682858911
11.47,-1.976326283089
11.48,-1.92154735624122
11.49,-1.86964435199706
11.5,-1.82044399722827
11.51,-1.773784554325
11.52,-1.72951499948887
11.53,-1.68749426175363
11.54,-1.64759051816605
11.55,-1.60968054091894
11.56,-1.57364909255206
11.57,-1.53938836563152
11.58,-1.50679746358773
11.59,-1.4757819196396
11.6,-1.44625325096036
11.61,-1.41812854545159
11.62,-1.39133007868689
11.63,-1.36578495876744
11.64,-1.3414247969995
11.65,-1.3181854024595
11.66,-1.29600649865692
11.67,-1.27483146063909
11.68,-1.25460707100655
11.69,-1.23528329342304
11.7,-1.21681306231102
11.71,-1.19915208752278
11.72,-1.18225867286928
11.73,-1.1660935474735
11.74,-1.15061970899399
11.75,-1.13580227783711
11.76,-1.12160836154353
11.77,-1.10800692859698
11.78,-1.09496869096042
11.79,-1.08246599469812
11.8,-1.07047271809095
11.81,-1.0589641766974
11.82,-1.04791703485461
11.83,-1.0373092231522
11.84,-1.02711986144707
11.85,-1.01732918702036
11.86,-1.00791848750754
11.87,-0.998870038260909
11.88,-0.990167043829245
11.89,-0.981793583262914
11.9,-0.973734558974914
11.91,-0.965975648908261
11.92,-0.958503261778728
11.93,-0.951304495179193
11.94,-0.944367096347569
11.95,-0.937679425414988
11.96,-0.931230420964259
11.97,-0.925009567741173
11.98,-0.919006866372652
11.99,-0.913212804956317
12,-0.907618332395904
12.01,-0.902214833365939
12.02,-0.896994104797479
12.03,-0.891948333784468
12.04,-0.887070076817297
12.05,-0.882352240256909
12.06,-0.87778806196881
12.07,-0.873371094041966
12.08,-0.869095186522917
12.09,-0.864954472100181
12.1,-0.860943351678508
12.11,-0.857056480786822
12.12,-0.853288756767355
12.13,-0.849635306697217
12.14,-0.846091475996847
12.15,-0.842652817682915
12.16,-0.839315082226096
12.17,-0.83607420797674
12.18,-0.832926312123968
12.19,-0.82986768215599
12.2,-0.826894767791539
12.21,-0.824004173354343
12.22,-0.821192650564302
12.23,-0.818457091720849
12.24,-0.815794523255465
12.25,-0.813202099631848
12.26,-0.810677097573628
12.27,-0.80821691060071
12.28,-0.805819043856643
12.29,-0.803481109210441
12.3,-0.801200820617328
12.31,-0.798975989723905
12.32,-0.796804521704061
12.33,-0.794684411312825
12.34,-0.792613739146197
12.35,-0.79059066809563
12.36,-0.78861343998659
